review_id,drugName,condition,review,rating,date,usefulCount
157879,Accutane,Acne,"Please think twice about this medication. I struggled with cystic acne from middle school until now (I'm 35). I took Accutane and it cleared up my skin for several years. It does seem like a miracle pill and the results were impressive. However, the side effects listed are REAL and can happen years after taking the medicine. It is not worth it. I was diagnosed with colitis and that is way worse than having bad skin. I wish I had never taken Accutane because now I will have to deal with stomach pain, bleeding, diarrhea and taking medication for the rest of my life.",3.0,2011-08-07,33
153524,Doxycycline,Acne,"It was fine at first, but about halfway through the month it gave me intense nausea, so bad I couldn't go to work or even stand up without throwing up/dry heaving. It wasn't even great for my acne. It stopped a little bit of my acne (bad flareups) but I still had constant pimples all over my chin. At pretty much the same rate as I'd had before.",2.0,2012-11-13,15
81339,Yaz,Acne,This is the worst pill ever! It broke my entire face out. It made my acne sooooo much worst. I'm so upset with what has done to my face. I wish I didn't go on this pill at all seriously don't do it. It's so awful.,1.0,2015-11-15,9
202049,Benzoyl peroxide / clindamycin,Acne,"The first time I used Duac it was very effective, no irritation or symptoms after using it but a bit dry on affected areas. After a while I stopped using it as my skin was fine, when my acne came back I began to use it again after about two weeks. The morning after applying it my skin came out in large red blotches around affected areas, and it burned, was extremely itchy and it was dry. I have tried to using it now again since a month of not using it again and the same has happened, won’t be using this product again.",4.0,2017-11-09,2
46829,Clindamycin,Acne,I got this and was using it twice a day for 3 days. All my big breakouts stopped but it seemed like they were replaced with tiny ones.,1.0,2013-11-10,56
180031,Adapalene / benzoyl peroxide,Acne,"Last year I stared using this. I used it for about 2-3 months maybe even more but it didn't make much of a difference. But I guess everyone's skin is different, it may work for some people and not for others.",4.0,2013-09-19,6
73890,Ethinyl estradiol / norethindrone,Acne,"My acne got so bad and my skin even started peeling. Its caused so many problems and after trying this for 2 months and reading all these (mostly negative) reviews, today is my last day taking this pill.",1.0,2012-04-15,18
111805,Gianvi,Acne,"I was prescribed this to treat acne, PMDD, and amenorrea, however it did nothing to treat any of those things. Instead it made about 95% of face break out in cystic acne (you have seen proactive commercials), caused severe depression and panic attacks (I didn't have the motivation to do anything besides workout and then sit on the couch all day in sweat pants--often crying off and on), prevented me from getting a job ( I had just graduated with my Masters and obtained my RD license and I was so depressed with such cloudy thinking I could not portray myself in a way that would make someone want to hire me), and I had breakthrough bleeding every month during the second week of pills. I will NEVER take BC pills again!",2.0,2015-11-12,4
202116,Benzoyl peroxide / clindamycin,Acne,Would not recommend this. I was recently proscribed by my dermatologist by using it every evening. I used it once and the next day my entirw face was red and itchy. I heard that the irritated skin lasts for a few days. Not only does it barely help my acne condition but its embarrassing and ridiculous to have to walk around with my face completely red.,1.0,2015-11-11,5
153243,Doxycycline,Acne,"I was prescribed it along with a few creams for acne, I stayed on it for 2 years with no success. I realized when I stopped taking it the acne went away on it's own, I've had a fairly clear face (except for scarring) for the last 2 years now. Also, watch out for how long your in the sun with it, my doctor didn't tell me about it but prolonged exposure to sunlight can mess with your hair. It thinned mine out a lot, but I've heard this also could be done from a hormone imbalance from the medication and the fact that you still go through hormone imbalances and all that until your 21. Overall, I wouldn't recommend it, just exercise a little more and eat a little less dairy and it'll clear up better than any meds will.",4.0,2015-12-13,1
218527,Tri-Sprintec,Acne,"Please please read !!!! When I was younger my skin was good I would get a pimple here and there as a common teen, but later I broke out not bad don't get me wrong but I broke out on my cheeks, a lot on my forehead. I would have tiny skin coloured bumps , they would go and come back here and there , so my cheeks I usually have got like at least 6 zits on them , my skin is soft but I have red spots all over my checks. Anyway so let's get into tri sprintec I had gone to my Dermatologist and he prescribed me some ointment and some sensitive skin facial cleanser and now I had been prescribed tri sprintec and let me tell you worst experience EVER!! I only last 2 days !!! Headaches and vomiting ! Lost 12 p",1.0,2017-09-26,0
137028,Isotretinoin,Acne,"don't risk it, it's not worth losing yourself in the process of clearing your acne.",2.0,2016-04-01,14
157194,Differin,Acne,It started to help in the beginning then a month later I got the worst breakouts.,2.0,2012-01-06,21
218518,Tri-Sprintec,Acne,"I used to only get a pimple here and there on my cheeks. When I started Tri-Sprintec my acne got significantly worse. I was getting deep cystic zits all over my cheeks. After 3 months or so my acne calmed down but it was still worse than before. A year later and my acne is still worse than when I started the medication but I'm terrified to go off of it because I'm scared of the breakout that will happen when I go off of it. Wish I never started taking it, it's ruining my life.",1.0,2017-11-05,1
63646,Epiduo,Acne,"I'm using Epiduo, and its already on my 3rd month. And it's not that effective. My pimples are still there. I also suggest use sunblock in the morning so that your face won't burn.",3.0,2014-08-02,6
137062,Isotretinoin,Acne,"Had moderate acne for 10 years and tried just about everything: BP, topical/oral antibiotics, retinoids, spirono, birth control, etc. and my skin was very oily to top it off, making my acne practically undefeatable. Last year I developed horrible cystic acne on my chin and my derm urged me towards accutane. Well I can tell you it's caused the worst breakout ever on my cheeks: painful, blistering nodules connected deep under my skin. I got prescribed prednisone and azithromycin for that, but it didn't help. I have to take benzaclin now and my face has never been this dry, painful, and red. I'm going into my 4th month with horrible skin and things are looking bleak. The only good thing that's happened so far is that my blackheads are gone.",4.0,2015-11-09,3
135031,Dapsone,Acne,Was prescribed aczone to use once my skin was already mostly cleared by dermatologist. It made me break out all over in tiny little bumps. It was terrible and took months to get rid of.,1.0,2016-10-01,10
124719,Tri-Previfem,Acne,"Originally started as a means to treat cystic acne and alleviate period cramps. Anxiety runs in my family, but I've never had it severely until I started taking this birth control. It's been three months and a few days into the fourth pack, and I've had enough. I went from someone who's never broken down about last minute assignments to someone who cries everyday for no discernible reason and can't manage even the simplest classwork. I also started off completely fine with my FWB, but now I've become dependent and paranoid even though he's one of my closest friends and I never had these issues before. It's like I'm a different person entirely, and I hate it.",2.0,2016-11-29,2
84415,Ethinyl estradiol / norgestimate,Acne,"Took this for a year with no problems or side effects. It was amazing. I stopped taking any form of birth control for about two years. I took this again for a year and that's where all the problems came from. I started breaking out more and more each month. I had a rash along my hairline, my jawline, my back, my cheeks. It was terrible. It clears up a little during the ""fake"" pills week, but it's the worst acne I've ever had. I stopped taking it for 2 months and my face cleared up, so I knew it was the pill. I'm looking to switch to something new asap.",3.0,2016-12-01,3
132893,Loestrin 24 Fe,Acne,Omg...I'm so glad I read these reviews. Started to breakout immediately after the first week. White pimples and cystic ones on my chin and around my nostrils. I'm so embarrassed never had acne problems my face even hurts from the breakouts. Yesterday was my last day of taking it.,1.0,2016-04-20,4
15928,Ethinyl estradiol / norethindrone,Acne,"I never really had acne until I started this birth control. Now my skin is absolutely awful. I heard you have to wait three months for the hormone levels to stabilize and see improvement, but I've been on it for five and my skin only keeps getting worse.",1.0,2016-07-21,1
179587,Adapalene / benzoyl peroxide,Acne,I'm a young teenage girl and I've struggled with acne since 6th grade and like any other young girl want to have a clear completion so I looked into acne treatments and found good review on epiduo so I went to my dermatologist and she said it was good to start and so I slowly progressed epiduo into my acne routine I used it for about 4 days and I saw progress in my acne being reduced in redness and size. I was thrilled. A few days later I went onto spring break and decided not to wear makeup and I realized around my mouth and wherever I put the epiduo gel was really red a day later after that my skin legit started to peel off my face. I stopped using it and it won't go away. HELP!!!!,1.0,2017-03-17,1
179538,Adapalene / benzoyl peroxide,Acne,About 3 months ago I started using the cream every night & the first few nights it burned then my face peeled for 2 weeks after that but my face hasn't cleared up and I still get big cystic pimples but my blackheads are starting to go away.,4.0,2017-07-26,0
84322,Ethinyl estradiol / norgestimate,Acne,"Terrible pill. It was recommended to me FOR my acne and made it worse. Also, be ready to cry ALL THE TIME for no reason at all.",1.0,2017-01-04,4
74454,Ethinyl estradiol / norethindrone,Acne,"I'm glad to hear that I'm not the only one who is having a horrible break out because of this pill. I've been taking it for 1.5 months, and my face, chest and back started to break out. In addition, it is very expensive. The one positive thing I did experience, is no bad headaches during my period like I used to get with other pills. Will go back to another pill that doesn't cause me these bad breakouts.",1.0,2010-04-13,13
135025,Dapsone,Acne,"I am so disappointed in this product I was hoping that it would help. I tried 2 different strengths but nothing worked. I stuck it out for a month and it just seemed to get worse and worse. I had cystic acne pop up in areas that I never had before. I also suffer from cystic acne and mine was pretty much cleared up, except for a few small areas. The affected areas got much worse and new areas started to pop up. My skin looks scarred and now has to heal after using this product. Everyone is different, so possibly it's just me. I do have Lupus, so this may be a factor. I definitely don't suggest it if you have sensitive skin. I have Cigna and met my pharm deductible this year but CVS wanted to charge $200 and Vons Pavilions covered at 100%.",1.0,2016-11-22,6
137089,Isotretinoin,Acne,"Horrible side effects (virtually all the ones listed) and did not cure my acne. In fact, it made my acne about 10 times worse than before. I find it strange that an ""initial breakout"" could last well over a month and be continuing to get worse, leaving scars that I never would have otherwise had. This drug was a total disaster for me and I stopped after a couple months. My face is still not back to how it was (which would be comparatively awesome and I had moderate-severe acne before), and to be perfectly honest this was the worst decision I could have made for my health and emotional wellbeing.",1.0,2016-03-08,18
180813,Solodyn,Acne,I'm 32 years old and I was suffering from unwanted blemishes constantly. I was desperate to try anything to clear my skin - my last straw was seeing the dermatologist. I've now been on Solodyn for 3 months and my skin is nearly flawless with a small blemish rarely. Unfortunately my trade off for clear skin seems to be weight gain from Solodyn. I have been the same weight my entire life no matter what I ate. But since one Solodyn I have gone from 155 pounds to 170 pounds in 90 days and I'm even starving myself. Has anyone else had this side effect? and if so I hope the weight drops when I stop taking them. Help!,9.0,2016-11-02,15
153118,Doxycycline,Acne,"I LOVE Doxycycline for acne. It is the only thing that gave me clear skin. I wish I was okay with taking it daily for the rest of my life. But taking any antibiotic long term is bad for both the body and environment. I did for vanity purposes, take doxycycline for a year. My skin looked AMAZING the entire time I was on it. When I quit taking it, all my adult acne came back. If you are considering it for acne, I can you it was incredibly effective. My face misses it greatly. I started out taking 100 mg in the am and 100 mg in the pm. That upset my tummy, so I went down to just 100 my once a day and it worked great.",10.0,2016-02-24,19
157907,Accutane,Acne,"I'm 16 and currently beginning my second month of accutane. Before I started my acne was hardly severe, but it was there and I wanted it gone. During the first month my acne became the worst it had ever been, but I wouldn't give up and it gradually began to clear up. I've experienced no severe side effects other than dryness everywhere. I now have about as much acne as I did when I started the treatment but I'm hoping in a few months the results will be worth it.",7.0,2010-12-13,2
161477,Ortho Tri-Cyclen,Acne,"28 yr old- healthy/active nurse. Always had minor acne since college but nothing like what I had a year ago last summer (2011). I blame it on YAZ for messing up my hormones. Painful cystic acne covered my jawline and forehead. I'm talking like 20 cysts at a time. Tried every OTC washes, organic, no caffeine, sugar, dairy, you name it. Nothing worked. Even though I did not want to go on the pill, I had too. ORTHO TRI CYCLEN (no the generic) for almost 7 months and finally it's almost clear. It was BAD first few months but I stuck with it. Give it time. PS: Generic is NOT the same as the real thing. Different fillers causes different reactions!",9.0,2012-05-15,60
77602,Cephalexin,Acne,"I have been getting these painful boils under my arm since I was 15-16. Now I'm 21. Like a month after I had my baby, my face broke out really, really bad. Cephalexin(Keflex) cleared it right up. I don't get boils any more.",8.0,2013-08-23,18
137315,Isotretinoin,Acne,"My son went on Isotretinoin for 6 months. He took 30 mg/ day for the first month and 60 mg for the next 5 months. He tried every other acne medicine and nothing worked until he started isotretinoin. His acne was clear by the third month. He had very dry lips and dry skin. The worst side effects was joint pain. He was 15, a runner and soccer player. It got to the point where even with ibuprofen, he was unable to play soccer or run track without a lot of pain. This is a hard price to pay for a high school athlete, and yet, now his skin looks great. The dermatologist has told us it is likely he will have 2 clear years and then he may have to start over again. I look back at before pictures and am so grateful this medicine was available.",10.0,2012-08-27,1
10729,Spironolactone,Acne,"This past summer I experienced the worst break out I've ever had all over my entire face. Never before had that happened- I just had a few cystic nodules around my mouth. For a month I tried everything- are a very strict diet and stayed away from bad carbs and sugars. Nothing worked. After seeing my dermatologist and gynecologist and doing research of my own I presented them with what I believed to be Polycystic Ovarian Syndrome. They did blood work and confirmed. The dermatologist wanted to put me on Accutane but I didn't feel good about it. I did more research, found out about spironolactone and asked him if this could be a good alternative, he agreed and I've been on 100 mg for about two months now. It has Changed my life. Gave me back confidence.",9.0,2014-12-09,36
157872,Accutane,Acne,"Have used Accutane and/or Claravis for a few cycles and experienced incredible results. Skin started clearing up within 4 weeks. By the 7th week, skin was completely clear from any redness, or new breakouts. I've tried everything available over-the-counter and other prescription antibiotics for my type of acne and although they would work for a while, the acne kept coming back. Accutane is the only thing that has ever worked for me.",9.0,2011-11-15,7
12259,Acanya,Acne,"I have been using Acanya for a little over a week and love it. I love that it doesn't dry my face, but my skin has shown vast improvement. I should have seen a dermatologist a lot sooner.",9.0,2009-11-21,6
153389,Doxycycline,Acne,I get the occasional painful cyst-type acne (I am in my mid 20's and this is a recent development). I have pretty sensitive dry/normal combination skin and other treatments I have tried have just made me peely and flaky. I have been using Citrus Clear Control products for a month. At first the treatment was a little drying so I went to using it every other night and now I am applying it every night following it up with the moisturizer. My skin is DEFINITELY clearer. It is still a little irritating every once in a while but I have not had any peeling/redness. It definitely stops the cyst-type acne from coming back.,8.0,2014-02-25,6
24280,Tretinoin,Acne,"I'm prescribed Avita along with clindamycin phosphate and these products are the ONLY products that's able to clear my skin. In addition my skin is left with a luminous glow, texture and dark spots are cleared also. My skin is extra soft too, and though I'm only 18 and do not have wrinkles, I get 0% of its presence (due to dry skin usually left with expression lines. However with the use of this medicine I don't).",10.0,2010-04-27,14
179571,Adapalene / benzoyl peroxide,Acne,"This is the one and only thing that has helped my acne. I have tried both oral and topical antibiotics, oral antibiotics helped for a while however my body became used to the drug and the effects wore off and my acne returned. At one point I was considering roaccutane but I am so glad I didn't. The two things with this cream is time and persistence. At first it will seem everything is worse, dry/burning/peeling skin which is red raw. Only apply minimally at first (1 small blob) and allow your skin to get used to the cream otherwise your skin will burn. After time you can start to apply more. I have been using for 4 months now and I apply twice daily but still have to be careful not to apply too much otherwise I do feel the ill effects.",10.0,2017-04-19,11
24131,Tretinoin,Acne,"For me, it got worse before it got better. And it got a lot BETTER! I was prescribed Retin-A by my dermatologist back in July, and have been using it as directed for 4 months already. I%u2019ll say, it was very difficult to believe in this product since the first couple of weeks because my skin would just not catch a break. It got really bad and I was miserable. However, I now attest to the true wonders this stuff can do for you if you%u2019re patient.",9.0,2015-12-03,10
23916,Tretinoin,Acne,"I developed severe acne in August of 2016. I had many different types and I had it everywhere. I saw a doctor in October who prescribed me minocycline (antibiotic) and gave me a referral for a dermatologist that I saw in November. I was prescribed Tretinoin (Retin-A) that I use at bedtime every night. For a while, I saw no results. My acne had even gotten worse. My skin was also very flakey so it looked terrible when I tried to cover with make up. Finally, about 3 months in, I am seeing big results. Everything has healed and is starting to fade. And I still have another month before I see my dermatologist again, which is supposed to be the ""peak"" of my treatment. Don't get discouraged.. this stuff takes time, but IT WORKS",9.0,2017-02-14,22
157170,Differin,Acne,I have had acne on and off for around 5 years now. I am a 22 year old male. I moved to Dubai and it got gradually worse over time. I started taking epiduo for around 8 weeks and it helped a little. I then came off it due to my skin my being pretty sensitive. My dermo prescribed me Tetralysal and Differin. Now the differin is very delicate on the skin in my opinion. I have taken for around 2 and a half weeks. I am currently going through the initial breakout and its bad. My general skin tone is tonnes better but we will have to see!,7.0,2015-04-29,16
137368,Isotretinoin,Acne,"I'm currently rounding up month 3 on Accutane. My lips are very dry, along with my face. I can't even do anything like running on hard ground due to how sore my muscles are. I've read some of these reviews, and I can't wait until my skin is clear! So far, I haven't had much improvement. I'll review again after I'm done.",9.0,2013-03-12,18
157995,Accutane,Acne,"I do believe, as all of you have stated, that Accutane is by far, the best form of treatment for cystic acne. I am 43 years old. I didn't have acne as a teenager, but ended up getting it in my early thirties. I have been on and off Accutane for the past 13 years. It does work, however, in my unfortunate circumstance, it always comes back. My doctor tells me that there are a select group of women who don't get acne until they are in their thirties and forties. For many of the adults, 1,2,3, or even 4 courses of Accutane don't work without the acne coming back at some point. For me, I have to take a consistent low dose to keep the acne at bay.",9.0,2009-03-27,24
157191,Differin,Acne,"I had clear skin all the way up to junior year. I became stressed out due to the work load and decided to buy products that contained chemicals such as benzoyl peroxide and salicylic acid. I even purchased a system, but I believe that it dried out my skin and produced an oil flare up. My acne was considerably worse after 30 days. I got cystic pimples. I finally convinced my parents to seek me a dermatologist. I was prescribed Differin lotion (0.3% adapalene) along with minocycline 100mg, twice a day. I wash my face now with Purpose gentle cleansing car. The first week I only used Differin because my insurance had not cleared Minocycline yet. I saw significant improvement. Almost my 3rd month and breakouts have ceased.",9.0,2013-08-30,34
10444,Spironolactone,Acne,"I have been dealing with acne since I was about 16 and then once I turned 19 in college my skin became much worse with stress and everything else. For the past four years I have been switching back and forth between various types of antibiotics. Finally, in March of this year I was prescribed spironolactone that I started on April 17th. All I have to say is that it works. It definitely was an uphill battle but now almost three months in I barely break out. There are definitely side effects but to me they are worth it. You will have to decide for yourself. As an added bonus, my PMS has decreased tremendously. Also, I did lose weight and a cup size.",9.0,2016-07-14,7
157722,Accutane,Acne,"I'm going into my 5th month on accutane at 60mg. The first 4 months yielded minimal if any results and I got the biggest cystic lesion in my history of acne in the 3rd month. Now, my skin is cleared of acne lesions and congestion. My skin is red, sensitive, and scarred and hyper pigmented. My eyes are dry and my lips require Aquaphor frequently. Overall, this medication has brought me confidence that I forgot I had. My derm said ""wow look at your skin it looks wonderful."" It made me emotional to hear. If you are considering this drug for persistent acne then my recommendation is to make this decision with your doctor. You will not be disappointed. Nothing else worked for me and I tried every med out there topically and orally, hormonally.",9.0,2015-10-04,15
180790,Solodyn,Acne,"When I turned 40 I started getting cysts on my chin and jawline (a lovely side effect of hormones) and dealt with it for 6 months before deciding to finally see my Dermatologist. She prescribed 55 mg and the results were immediate and remarkable. I've been on it for 4 months and have had no side effects (I take NO other medications though) and have had ZERO breakouts. As other reviewers have mentioned, it is expensive so be sure to get the discount card from your Doctor which is good for 3 refills. I see my Doctor every 3 months so she can monitor my progress and give me another card. I have paid only $10 a month for this medication since I started it. My confidence has skyrocketed and I'm saving a ton of money on makeup!",10.0,2011-09-20,34
51524,Aczone,Acne,"I had an adult onset of acne at age 37. Out of nowhere I had 10 to 15 pimples on my face... minimum. I made an appointment with my dermatologist. She put me on Aczone. I used the coupon online and got it for my co-pay (much cheaper... as it is pricey). I used it once a day. At first my face dried up and my acne increased. However, after a month I went acne free...since 2013! If you can get past the first month... you will be all clear! However, once your face is clear you may be tempted to stop! Please don’t... as acne may return and you’ll have to start all over. Just my 2 cents!",10.0,2017-10-14,6
159721,Bactrim,Acne,"Okay, so I had suffered with Acne ever since I hit puberty.. I was a 'pizza' face, so to say.. I had tried multiple things and thousands of dollars to try and get rid of my acne... Eventually though, I found out I had PCOS, so yay! Hormonal Acne. ._. Anywaaays, My dermatologist prescribed me Bactrim along with Spironolactone. Within a week, I had a completely clear face. No acne at all... But unfortunately, after 3-4 week I found out I I was apart of the unlucky few who ended up being allergic to it. So sad. If I could ever take it again, I would in a heart beat. But It has been about 6 months since I've been on Bactrim and I am still pretty much clear with very few breakouts.",10.0,2017-02-22,9
202219,Benzoyl peroxide / clindamycin,Acne,"Benzaclin made my skin very dry and stiff. Even smiling was difficult the two hours after applying Benzaclin. However, it did a good job clearing my acne, which was severe.",7.0,2009-11-17,18
137370,Isotretinoin,Acne,"I%u2019m 22, female & just started month 4. I am glad I started Accutane, although it is quite expensive. My monthly blood draws are $250 each time, with health insurance. The worst side effect for me is the dryness, especially my lips. Carmex in a stick has worked best for me over Aquaphor. I use Cetaphil facial moisturizer & cleanser. I use each of them morning & night & they have worked well. I would recommend this medication to any acne sufferers, it%u2019s amazing the confidence you gain with clear skin. I have been so much more outgoing since I don't have to worry about people staring at my latest pimple. I can%u2019t wait for summer where I will be able to go to the beach without make-up and not be self-conscious about it!",10.0,2013-03-04,21
202123,Benzoyl peroxide / clindamycin,Acne,"I'm 17 now and had been suffering acne during highschool years, during summer I used duac at first had side effects of my skin peeling and extremely dry skin, but it eventually got better, cleared my skin up so well!! Only got blemishes to deal with now, cleared up within 6 weeks all clear for college I felt much confident",9.0,2015-10-25,9
47900,Adapalene,Acne,I've been using Differin for 5 weeks now. My skin had seemed to be improving but then all of a sudden the last few days I've had several new break outs. It's a little frustrating but I'll continue using it as it can take up to 12 weeks for the best results. I'll just keep my fingers crossed.,7.0,2009-07-10,28
202006,Benzoyl peroxide / clindamycin,Acne,"Duac has and is working well for me. Granted it does dry the hell out of my skin so I make sure to exfoliate in the daytime 2 to 3 times a week and use coconut oil on particularly dry patches otherwise things like foundation look awful on top of the dryness. Saying that, I have been able to comfortably be able to wear no makeup most of the time anyway as the Duac really has seemed to have got ridden of the bad spots. I'm left with some red marks/scars from acne but that can easily be concealed. Only cons are the drying out of skin and the fact it has to be kept in the fridge as I'm constantly on the move! Overall it's been the best thing for me and my skin",8.0,2017-01-12,9
180779,Solodyn,Acne,Great medication! Works wonders,10.0,2012-08-14,17
12170,Acanya,Acne,"Iv'e struggled with acne for years now.Once I started using Acanya, Ziana, and Solodyn, I can see a huge difference with my face . I had really bad acne and you could clearly tell it was there. I tried everything you could possibly think of and so far these products are the only ones that have been helpful. I would recommend seeing a dermatoligist if you have bad acne, they will most likely give you these products.Just wanted to share my experience, hope you find help with it.",10.0,2016-07-07,5
157736,Accutane,Acne,"I am 14 and I am beginning year 10. over summer break I decided from years of acne and expensive spot products I wanted to make a change to my confidence by taking accutane I'm only just finishing the 1st month of the drug and I was expecting fast working treatment but don't be disappointed if it doesn't work in the first few weeks because mine didn't. I get painful spots across my chin and on my back and chest, and I wouldn't go out the house without a face full of foundation or a top that covers my chest and back. Since I have been taking the drug I have noticed the redness on my chin has calmed down. And the spots on my back are practically gone! I hope this helps :)",8.0,2015-08-27,8
157910,Accutane,Acne,"Although there are many side effects which it can cause, even if one or two of the serious ones come, it could be worth it in the end. I know the depression and isolation from very severe acne, never wanting to go outside because of how horrible my skin always was. The only medication that actually worked for me was Accutane. I realize that it gave me slightly blurred vision, but the result from using it was fantastic. For anyone without severe acne who doesn't know how horrible it really is, they can't understand it, but when the only thing you want is to have clear skin, the risks are simply worth it.",10.0,2010-10-14,14
132904,Loestrin 24 Fe,Acne,"I've always had terrible, oily skin so my doctor finally put me on Loestrin. It took my skin a couple months to stop breaking out but now it is near perfect! I even have people complimenting me on my skin now which believe me would never have happened before. Also has completely stopped my period and I now only have mild symptoms.",8.0,2016-02-12,9
48224,Amnesteem,Acne,"I took this in my sophomore year in high school since I was suffering with severe acne all over my face, chest and back. Astonishingly, it cleared it all up within the second month. I felt great but got a call from my doctor saying that I should immediately get off this medication because my Liver Function Tests sky rocketed. It was very scary but my liver eventually recovered. A year later my acne came back, and came back hard. It was hard to go to school and I had bad cystic acne. I talked to my doctor and decided to go back on. I am now two months into the medication again and seem to be having a lot more side effects. I'm still experiencing bad acne with redness but I know it will clear up sometime. As for the liver, every things fine so far.",9.0,2013-10-18,14
150528,Sulfamethoxazole / trimethoprim,Acne,"When I was in high school, people would notice how great my skin was. In junior high, I started getting one to a few small pimples and then they turned into big bumps. I was crying and even praying they'd go away. I did a lot of research from natural remedies to medications, but boy nothing ever worked like this one has, and still is working for me. It came to a point I don't care anymore if I was washing my face twice a day, after 2 to 3 weeks my skin's clear. Although scars are still there, but at least, I can wake up each day only to mind those scars and not anymore with those big ones that I know that have pusses inside. Even those scars I had at my back's just gone. I'd rather try this than accutane. Try it. It's a Godsend for me.",10.0,2016-08-28,3
